short_id,openalex_id,publication_year,publication_date,title,doi,source,type,cited_by_count,pdf_status,pdf_url,fulltext_screen_status,fulltext_exclusion_reason,low_baseline_arousal_class,repeated_use_class,habituation_class,eligibility_tier,extracted_evidence_status,batch_id,notes,last_updated_utc
W4394879532,https://openalex.org/W4394879532,2024,2024-04-16,"Impacts of Static Lighting in Confined Spaces on the Circadian Parameters, Alertness, Performance and Well-Being",https://doi.org/10.3390/buildings14041115,Buildings,article,7,downloaded,https://www.mdpi.com/2075-5309/14/4/1115/pdf?version=1713333734,include,,A4_general_adults_unscreened,D2_repeated_weekplus,H0_not_tested,T2_context,qa_passed,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final; extract:E005; qa:E005_pass; evidence_rows=2,2026-02-14T21:17:01.728524Z
W4400513838,https://openalex.org/W4400513838,2024,2024-07-10,Caffeine improves the shooting performance and reaction time of first-person shooter esports players: a dose-response study,https://doi.org/10.3389/fspor.2024.1437700,Frontiers in Sports and Active Living,article,8,downloaded,https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2024.1437700/pdf,include,,A4_general_adults_unscreened,D0_acute_only,H0_not_tested,T2_context,todo,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4401977399,https://openalex.org/W4401977399,2024,2024-01-01,Befriending Your Anxiety Through the Polyvagal Lens by Utilizing Embodied Imagery,https://doi.org/10.33015/dominican.edu/2024.at.09,,dissertation,0,downloaded,https://scholar.dominican.edu/cgi/viewcontent.cgi?article=1022&context=art-therapy-masters-theses,exclude,wrong_domain,A1_explicit_low_arousal,,H0_not_tested,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4405967368,https://openalex.org/W4405967368,2024,2024-12-27,Common Questions and Misconceptions About Energy Drinks: What Does the Scientific Evidence Really Show?,https://doi.org/10.3390/nu17010067,Nutrients,review,8,downloaded,https://www.mdpi.com/2072-6643/17/1/67/pdf?version=1735558651,include,,AX_review_or_mixed_population,,,T2_context,todo,B001,triage:B001; conf=0.75; method=pypdf; doi=no; title_match=0.67 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4317242260,https://openalex.org/W4317242260,2023,2023-01-18,Brain activity during a working memory task after daily caffeine intake and caffeine withdrawal: a randomized double-blind placebo-controlled trial,https://doi.org/10.1038/s41598-022-26808-5,Scientific Reports,article,21,downloaded,https://www.nature.com/articles/s41598-022-26808-5.pdf,exclude,outcome_not_tonic_arousal_or_vigilance,A1_explicit_low_arousal,D0_acute_only,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4319440195,https://openalex.org/W4319440195,2023,2023-02-06,Neuroprotective Effect of Melatonin on Sleep Disorders Associated with Parkinson’s Disease,https://doi.org/10.3390/antiox12020396,Antioxidants,review,38,downloaded,https://www.mdpi.com/2076-3921/12/2/396/pdf?version=1676608500,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4319922755,https://openalex.org/W4319922755,2023,2023-02-09,Studying Response to Light in Offices: A Literature Review and Pilot Study,https://doi.org/10.3390/buildings13020471,Buildings,review,16,downloaded,https://www.mdpi.com/2075-5309/13/2/471/pdf?version=1676968661,include,,AX_review_or_mixed_population,,,T2_context,todo,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4323849326,https://openalex.org/W4323849326,2023,2023-03-09,Effects of Resistance Exercise on Cognitive Performance and Depressive Symptoms in Community-Dwelling Older Chinese Americans: A Pilot Randomized Controlled Trial,https://doi.org/10.3390/bs13030241,Behavioral Sciences,article,7,downloaded,https://www.mdpi.com/2076-328X/13/3/241/pdf?version=1678691878,exclude,outcome_not_tonic_arousal_or_vigilance,A1_explicit_low_arousal,,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4324129146,https://openalex.org/W4324129146,2023,2023-03-14,"High intensity and sprint interval training, and work‐related cognitive function in adults: A systematic review",https://doi.org/10.1111/sms.14349,Scandinavian Journal of Medicine and Science in Sports,review,15,downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sms.14349,include,,AX_review_or_mixed_population,,,T2_context,todo,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4327742982,https://openalex.org/W4327742982,2023,2023-03-17,Light as a Modulator of Non-Image-Forming Brain Functions—Positive and Negative Impacts of Increasing Light Availability,https://doi.org/10.3390/clockssleep5010012,Clocks & Sleep,review,44,downloaded,https://www.mdpi.com/2624-5175/5/1/12/pdf?version=1679033826,include,,AX_review_or_mixed_population,,,T2_context,todo,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4367317642,https://openalex.org/W4367317642,2023,2023-04-27,The Effects of Essential Oils on the Nervous System: A Scoping Review,https://doi.org/10.3390/molecules28093771,Molecules,review,96,downloaded,https://www.mdpi.com/1420-3049/28/9/3771/pdf?version=1682597653,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.75; method=pypdf; doi=no; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4376603381,https://openalex.org/W4376603381,2023,2023-05-01,Movement and Mindfulness in the Transitional Kindergarten Classroom,https://doi.org/10.33015/dominican.edu/2023.edu.10,,dissertation,1,downloaded,https://scholar.dominican.edu/cgi/viewcontent.cgi?article=1074&context=education-masters-theses,exclude,population_not_adult,A1_explicit_low_arousal,,H0_not_tested,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4377294496,https://openalex.org/W4377294496,2023,2023-05-22,Factors affecting the psychomotor vigilance of nurses working night shift,https://doi.org/10.1111/inr.12848,International Nursing Review,article,10,downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/inr.12848,exclude,no_intervention_evaluated,A2_structural_proxy_low_arousal,D1_repeated_short,H0_not_tested,,not_applicable,B001,triage:B001; conf=0.65; method=pypdf; doi=no; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4378173355,https://openalex.org/W4378173355,2023,2023-05-01,Train Smart Study: protocol for a randomised trial investigating the role of exercise training dose on markers of brain health in sedentary middle-aged adults,https://doi.org/10.1136/bmjopen-2022-069413,BMJ Open,article,7,downloaded,https://bmjopen.bmj.com/content/bmjopen/13/5/e069413.full.pdf,exclude,not_primary_study_or_high_value_review,A1_explicit_low_arousal,,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4384626906,https://openalex.org/W4384626906,2023,2023-07-18,The Impact of Sleep Interventions on Athletic Performance: A Systematic Review,https://doi.org/10.1186/s40798-023-00599-z,Sports Medicine - Open,review,61,downloaded,https://sportsmedicine-open.springeropen.com/counter/pdf/10.1186/s40798-023-00599-z,exclude,outcome_not_tonic_arousal_or_vigilance,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4385264619,https://openalex.org/W4385264619,2023,2023-07-26,Twelve weeks of combined physical and cognitive intradialytic training preserves alertness and improves gait speed: a randomized controlled trial,https://doi.org/10.1007/s40520-023-02511-x,Aging Clinical and Experimental Research,article,10,downloaded,https://link.springer.com/content/pdf/10.1007/s40520-023-02511-x.pdf,include,,A4_general_adults_unscreened,D3_repeated_monthplus,H0_not_tested,T2_context,qa_passed,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final; extract:E004; qa:E004_pass; evidence_rows=1,2026-02-14T20:16:15.000340Z
W4385421832,https://openalex.org/W4385421832,2023,2023-07-29,A Menthol-Enhanced “Cooling” Energy Gel Does Not Influence Laboratory Time Trial Performance in Trained Runners,https://doi.org/10.3390/nu15153379,Nutrients,article,7,downloaded,https://www.mdpi.com/2072-6643/15/15/3379/pdf?version=1690625715,exclude,outcome_not_tonic_arousal_or_vigilance,A1_explicit_low_arousal,D2_repeated_weekplus,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=0.92 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4387242055,https://openalex.org/W4387242055,2023,2023-09-02,Circadian preference and physical and cognitive performance in adolescence: A scoping review,https://doi.org/10.1080/07420528.2023.2256901,Chronobiology International,review,15,downloaded,https://www.tandfonline.com/doi/pdf/10.1080/07420528.2023.2256901?needAccess=true,exclude,population_not_adult,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4387798340,https://openalex.org/W4387798340,2023,2023-10-20,Improved intraindividual variability in cognitive performance following cognitive and exercise training in older adults,https://doi.org/10.1017/s1355617723000577,Journal of the International Neuropsychological Society,article,5,downloaded,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E91A05A4B48C36C71CBE6638F61CAC6B/S1355617723000577a.pdf/div-class-title-improved-intraindividual-variability-in-cognitive-performance-following-cognitive-and-exercise-training-in-older-adults-div.pdf,exclude,outcome_not_tonic_arousal_or_vigilance,A1_explicit_low_arousal,,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.75; method=pypdf; doi=no; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4388903554,https://openalex.org/W4388903554,2023,2023-11-22,Evaluation of taVNS for extreme environments: an exploration study of health benefits and stress operationality,https://doi.org/10.3389/fneur.2023.1286919,Frontiers in Neurology,article,14,downloaded,https://www.frontiersin.org/articles/10.3389/fneur.2023.1286919/pdf?isPublishedV2=False,exclude,wrong_domain,A1_explicit_low_arousal,D0_acute_only,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.65; method=pypdf; doi=no; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4389933795,https://openalex.org/W4389933795,2023,2023-12-19,Effectiveness of caffeine and blue-enriched light on cognitive performance and electroencephalography correlates of alertness in a spaceflight robotics simulation,https://doi.org/10.1038/s41526-023-00332-w,npj Microgravity,article,3,downloaded,https://www.nature.com/articles/s41526-023-00332-w.pdf,include,,A4_general_adults_unscreened,D0_acute_only,H3_unclear_or_mixed,T2_context,todo,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4390113500,https://openalex.org/W4390113500,2023,2023-12-22,Effects of calibrated blue–yellow changes in light on the human circadian clock,https://doi.org/10.1038/s41562-023-01791-7,Nature Human Behaviour,article,25,downloaded,https://www.nature.com/articles/s41562-023-01791-7.pdf,include,,A4_general_adults_unscreened,D0_acute_only,H0_not_tested,T2_context,todo,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4390677058,https://openalex.org/W4390677058,2023,2023-12-14,A COMPREHENSIVE REVIEW ON PHARMACOLOGICAL POTENTIALS OF CAFFEINE,https://doi.org/10.31069/japsr.v6i3.04,Journal of Applied Pharmaceutical Sciences and Research,review,14,downloaded,https://japsr.in/index.php/journal/article/download/213/134,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4206402367,https://openalex.org/W4206402367,2022,2022-01-19,"Review of the Midbrain Ascending Arousal Network Nuclei and Implications for Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS), Gulf War Illness (GWI) and Postexertional Malaise (PEM)",https://doi.org/10.3390/brainsci12020132,Brain Sciences,review,18,downloaded,https://www.mdpi.com/2076-3425/12/2/132/pdf?version=1642582841,include,,AX_review_or_mixed_population,,,T2_context,todo,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4211135645,https://openalex.org/W4211135645,2022,2022-02-11,"Impact of sleep timing on attention, sleepiness, and sleep quality among real-life night shift workers with shift work disorder: a cross-over clinical trial",https://doi.org/10.1093/sleep/zsac034,SLEEP,article,12,downloaded,https://academic.oup.com/sleep/article-pdf/45/4/zsac034/43217009/zsac034.pdf,include,,A2_structural_proxy_low_arousal,D2_repeated_weekplus,H3_unclear_or_mixed,T1_core,qa_passed,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final; extract:E001; qa:E001_pass; evidence_rows=3,2026-02-14T18:22:02+00:00
W4214831550,https://openalex.org/W4214831550,2022,2022-01-01,The impact of a multicomponent‐functional training with postural correction on functional balance in the elderly with a history of falling,https://doi.org/10.1186/s40634-022-00459-x,Journal of Experimental Orthopaedics,article,23,downloaded,https://jeo-esska.springeropen.com/track/pdf/10.1186/s40634-022-00459-x,exclude,outcome_not_tonic_arousal_or_vigilance,A2_structural_proxy_low_arousal,D0_acute_only,H3_unclear_or_mixed,,not_applicable,B002,triage:B002; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4220756997,https://openalex.org/W4220756997,2022,2022-03-11,"Understanding Sleep-Wake Behavior in Late Chronotype Adolescents: The Role of Circadian Phase, Sleep Timing, and Sleep Propensity",https://doi.org/10.3389/fpsyt.2022.785079,Frontiers in Psychiatry,article,23,downloaded,https://www.frontiersin.org/articles/10.3389/fpsyt.2022.785079/pdf,exclude,population_not_adult,A1_explicit_low_arousal,D2_repeated_weekplus,H0_not_tested,,not_applicable,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4221039819,https://openalex.org/W4221039819,2022,2022-03-31,"Evaluation of a Brief Sleep Intervention Designed to Improve the Sleep, Mood, and Cognitive Performance of Esports Athletes",https://doi.org/10.3390/ijerph19074146,International Journal of Environmental Research and Public Health,article,41,downloaded,https://www.mdpi.com/1660-4601/19/7/4146/pdf?version=1648716937,include,,A4_general_adults_unscreened,,H0_not_tested,T2_context,todo,B002,triage:B002; conf=0.75; method=pypdf; doi=no; title_match=0.91 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4221049228,https://openalex.org/W4221049228,2022,2022-01-01,The role of caffeine consumption on individuals' health and athletic performance: An overview,https://doi.org/10.22271/journalofsport.2022.v7.i1d.2466,International Journal of Physiology Nutrition and Physical Education,article,3,downloaded,https://www.journalofsports.com/pdf/2022/vol7issue1/PartD/7-1-63-302.pdf,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4221066396,https://openalex.org/W4221066396,2022,2022-03-25,Central and Peripheral Fatigue in Physical Exercise Explained: A Narrative Review,https://doi.org/10.3390/ijerph19073909,International Journal of Environmental Research and Public Health,review,191,downloaded,https://www.mdpi.com/1660-4601/19/7/3909/pdf?version=1648194164,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4224314745,https://openalex.org/W4224314745,2022,2022-04-25,"It’s About Time: The Circadian Network as Time-Keeper for Cognitive Functioning, Locomotor Activity and Mental Health",https://doi.org/10.3389/fphys.2022.873237,Frontiers in Physiology,review,43,downloaded,https://www.frontiersin.org/articles/10.3389/fphys.2022.873237/pdf,exclude,outcome_not_tonic_arousal_or_vigilance,AX_review_or_mixed_population,,,,not_applicable,B002,triage:B002; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4280493025,https://openalex.org/W4280493025,2022,2022-05-16,"Adenosine, caffeine, and sleep–wake regulation: state of the science and perspectives",https://doi.org/10.1111/jsr.13597,Journal of Sleep Research,review,141,downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jsr.13597,include,,AX_review_or_mixed_population,,,T2_context,todo,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4280554577,https://openalex.org/W4280554577,2022,2022-05-01,"The CLASS Study (Circadian Light in Adolescence, Sleep and School): protocol for a prospective, longitudinal cohort to assess sleep, light, circadian timing and academic performance in adolescence",https://doi.org/10.1136/bmjopen-2021-055716,BMJ Open,article,6,downloaded,https://bmjopen.bmj.com/content/bmjopen/12/5/e055716.full.pdf,exclude,not_primary_study_or_high_value_review,A1_explicit_low_arousal,,H3_unclear_or_mixed,,not_applicable,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4283164400,https://openalex.org/W4283164400,2022,2022-06-19,Acute Tai Chi Chuan exercise enhances sustained attention and elicits increased cuneus/precuneus activation in young adults,https://doi.org/10.1093/cercor/bhac254,Cerebral Cortex,article,15,downloaded,https://doi.org/10.1093/cercor/bhac254,include,,A4_general_adults_unscreened,D0_acute_only,H0_not_tested,T2_context,todo,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4283457984,https://openalex.org/W4283457984,2022,2022-01-01,Low-intensity scheduled morning exercise for adolescents with a late chronotype: a novel treatment to advance circadian phase?,https://doi.org/10.1093/sleepadvances/zpac021,SLEEP Advances,article,19,downloaded,https://academic.oup.com/sleepadvances/advance-article-pdf/doi/10.1093/sleepadvances/zpac021/44249313/zpac021.pdf,exclude,population_not_adult,A1_explicit_low_arousal,,H0_not_tested,,not_applicable,B002,triage:B002; conf=0.75; method=pypdf; doi=no; title_match=0.77 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4285731316,https://openalex.org/W4285731316,2022,2022-07-18,Sleep and work functioning in nurses undertaking inpatient shifts in a blue-depleted light environment,https://doi.org/10.1186/s12912-022-00973-4,BMC Nursing,article,9,downloaded,https://bmcnurs.biomedcentral.com/counter/pdf/10.1186/s12912-022-00973-4,include,,A2_structural_proxy_low_arousal,D3_repeated_monthplus,H3_unclear_or_mixed,T2_context,qa_passed,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final; extract:E004; update:repeated_use_class D0->D3 (6-week ward rotation; 14d monitoring).; qa:E004_pass; evidence_rows=3,2026-02-14T20:16:15.000340Z
W4294142672,https://openalex.org/W4294142672,2022,2022-09-01,Effects of mind-body exercises on cognitive impairment in people with Parkinson's disease: A mini-review,https://doi.org/10.3389/fneur.2022.931460,Frontiers in Neurology,review,19,downloaded,https://www.frontiersin.org/articles/10.3389/fneur.2022.931460/pdf,exclude,outcome_not_tonic_arousal_or_vigilance,AX_review_or_mixed_population,,,,not_applicable,B002,triage:B002; conf=0.65; method=pypdf; doi=no; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4295681636,https://openalex.org/W4295681636,2022,2022-09-01,"Evaluating the impact of a sleep health education and a personalised smartphone application on sleep, productivity and healthcare utilisation among employees: results of a randomised clinical trial",https://doi.org/10.1136/bmjopen-2022-062121,BMJ Open,article,16,downloaded,https://bmjopen.bmj.com/content/bmjopen/12/9/e062121.full.pdf,include,,A4_general_adults_unscreened,,H0_not_tested,T2_context,todo,B002,triage:B002; conf=0.75; method=pypdf; doi=no; title_match=0.88 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4296834435,https://openalex.org/W4296834435,2022,2022-09-23,Effectiveness of Nitrate Intake on Recovery from Exercise-Related Fatigue: A Systematic Review,https://doi.org/10.3390/ijerph191912021,International Journal of Environmental Research and Public Health,review,12,downloaded,https://www.mdpi.com/1660-4601/19/19/12021/pdf?version=1664283411,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B002,triage:B002; conf=0.75; method=pypdf; doi=no; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4308700716,https://openalex.org/W4308700716,2022,2022-11-10,The effects of normobaric and hypobaric hypoxia on cognitive performance and physiological responses: A crossover study,https://doi.org/10.1371/journal.pone.0277364,PLoS ONE,article,11,downloaded,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0277364&type=printable,include,,A1_explicit_low_arousal,D0_acute_only,H0_not_tested,T2_context,not_applicable,B002,triage:B002; conf=0.75; method=pypdf; doi=no; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4309318520,https://openalex.org/W4309318520,2022,2022-11-16,Anodal Transcranial Direct Current Stimulation Reduces Competitive Anxiety and Modulates Heart Rate Variability in an eSports Player,https://doi.org/10.2174/17450179-v18-e2209270,Clinical Practice and Epidemiology in Mental Health,article,6,downloaded,https://clinical-practice-and-epidemiology-in-mental-health.com/VOLUME/18/ELOCATOR/e174501792209270/PDF/,exclude,outcome_not_tonic_arousal_or_vigilance,A1_explicit_low_arousal,D0_acute_only,H0_not_tested,,not_applicable,B002,triage:B002; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
W4311145819,https://openalex.org/W4311145819,2022,2022-11-30,Mental Performance and Sport: Caffeine and Co-consumed Bioactive Ingredients,https://doi.org/10.1007/s40279-022-01796-8,Sports Medicine,review,37,downloaded,https://link.springer.com/content/pdf/10.1007/s40279-022-01796-8.pdf,include,,AX_review_or_mixed_population,,,T2_context,todo,B002,triage:B002; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B002_final,2026-02-14T13:23:53+00:00
